election,type,race,key,county,precinct,party,candidate,votes
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 19 - POLARIS,BEAVERHEAD,PRECINCT 19 - POLARIS,Green,JILL STEIN,0
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 20 - JACKSON,BEAVERHEAD,PRECINCT 20 - JACKSON,Green,JILL STEIN,0
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 21 - WISDOM,BEAVERHEAD,PRECINCT 21 - WISDOM,Green,JILL STEIN,0
2024-gen,statewide,president,BEAVERHEAD-PRECINCT 23 - WISE RIVER,BEAVERHEAD,PRECINCT 23 - WISE RIVER,Green,JILL STEIN,2
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 01 - D-CITY,BEAVERHEAD,PRECINCT 01 - D-CITY,Democrat,JON TESTER,217
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 02 - D-RURAL,BEAVERHEAD,PRECINCT 02 - D-RURAL,Democrat,JON TESTER,253
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 03 - D.RURAL,BEAVERHEAD,PRECINCT 03 - D.RURAL,Democrat,JON TESTER,249
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 04 - LIMA,BEAVERHEAD,PRECINCT 04 - LIMA,Democrat,JON TESTER,48
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 05 - DELL,BEAVERHEAD,PRECINCT 05 - DELL,Democrat,JON TESTER,26
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 06 - D-CITY,BEAVERHEAD,PRECINCT 06 - D-CITY,Democrat,JON TESTER,208
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 07 - D-RURAL,BEAVERHEAD,PRECINCT 07 - D-RURAL,Democrat,JON TESTER,106
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 08 - GRANT,BEAVERHEAD,PRECINCT 08 - GRANT,Democrat,JON TESTER,19
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 09 - D.RURAL,BEAVERHEAD,PRECINCT 09 - D.RURAL,Democrat,JON TESTER,175
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 12 - D.CITY,BEAVERHEAD,PRECINCT 12 - D.CITY,Democrat,JON TESTER,275
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 14 - D.CITY,BEAVERHEAD,PRECINCT 14 - D.CITY,Democrat,JON TESTER,238
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 17 - REICHLE,BEAVERHEAD,PRECINCT 17 - REICHLE,Democrat,JON TESTER,44
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 19 - POLARIS,BEAVERHEAD,PRECINCT 19 - POLARIS,Democrat,JON TESTER,44
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 20 - JACKSON,BEAVERHEAD,PRECINCT 20 - JACKSON,Democrat,JON TESTER,17
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 21 - WISDOM,BEAVERHEAD,PRECINCT 21 - WISDOM,Democrat,JON TESTER,45
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 23 - WISE RIVER,BEAVERHEAD,PRECINCT 23 - WISE RIVER,Democrat,JON TESTER,60
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 01 - D-CITY,BEAVERHEAD,PRECINCT 01 - D-CITY,Republican,TIM SHEEHY,199
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 02 - D-RURAL,BEAVERHEAD,PRECINCT 02 - D-RURAL,Republican,TIM SHEEHY,603
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 03 - D.RURAL,BEAVERHEAD,PRECINCT 03 - D.RURAL,Republican,TIM SHEEHY,668
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 04 - LIMA,BEAVERHEAD,PRECINCT 04 - LIMA,Republican,TIM SHEEHY,158
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 05 - DELL,BEAVERHEAD,PRECINCT 05 - DELL,Republican,TIM SHEEHY,122
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 06 - D-CITY,BEAVERHEAD,PRECINCT 06 - D-CITY,Republican,TIM SHEEHY,278
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 07 - D-RURAL,BEAVERHEAD,PRECINCT 07 - D-RURAL,Republican,TIM SHEEHY,220
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 08 - GRANT,BEAVERHEAD,PRECINCT 08 - GRANT,Republican,TIM SHEEHY,56
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 09 - D.RURAL,BEAVERHEAD,PRECINCT 09 - D.RURAL,Republican,TIM SHEEHY,321
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 12 - D.CITY,BEAVERHEAD,PRECINCT 12 - D.CITY,Republican,TIM SHEEHY,320
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 14 - D.CITY,BEAVERHEAD,PRECINCT 14 - D.CITY,Republican,TIM SHEEHY,270
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 17 - REICHLE,BEAVERHEAD,PRECINCT 17 - REICHLE,Republican,TIM SHEEHY,114
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 19 - POLARIS,BEAVERHEAD,PRECINCT 19 - POLARIS,Republican,TIM SHEEHY,105
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 20 - JACKSON,BEAVERHEAD,PRECINCT 20 - JACKSON,Republican,TIM SHEEHY,72
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 21 - WISDOM,BEAVERHEAD,PRECINCT 21 - WISDOM,Republican,TIM SHEEHY,112
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 23 - WISE RIVER,BEAVERHEAD,PRECINCT 23 - WISE RIVER,Republican,TIM SHEEHY,89
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 01 - D-CITY,BEAVERHEAD,PRECINCT 01 - D-CITY,Libertarian,SID DAOUD,8
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 02 - D-RURAL,BEAVERHEAD,PRECINCT 02 - D-RURAL,Libertarian,SID DAOUD,6
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 03 - D.RURAL,BEAVERHEAD,PRECINCT 03 - D.RURAL,Libertarian,SID DAOUD,9
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 04 - LIMA,BEAVERHEAD,PRECINCT 04 - LIMA,Libertarian,SID DAOUD,3
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 05 - DELL,BEAVERHEAD,PRECINCT 05 - DELL,Libertarian,SID DAOUD,2
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 06 - D-CITY,BEAVERHEAD,PRECINCT 06 - D-CITY,Libertarian,SID DAOUD,6
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 07 - D-RURAL,BEAVERHEAD,PRECINCT 07 - D-RURAL,Libertarian,SID DAOUD,1
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 08 - GRANT,BEAVERHEAD,PRECINCT 08 - GRANT,Libertarian,SID DAOUD,1
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 09 - D.RURAL,BEAVERHEAD,PRECINCT 09 - D.RURAL,Libertarian,SID DAOUD,7
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 12 - D.CITY,BEAVERHEAD,PRECINCT 12 - D.CITY,Libertarian,SID DAOUD,9
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 14 - D.CITY,BEAVERHEAD,PRECINCT 14 - D.CITY,Libertarian,SID DAOUD,9
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 17 - REICHLE,BEAVERHEAD,PRECINCT 17 - REICHLE,Libertarian,SID DAOUD,3
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 19 - POLARIS,BEAVERHEAD,PRECINCT 19 - POLARIS,Libertarian,SID DAOUD,0
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 20 - JACKSON,BEAVERHEAD,PRECINCT 20 - JACKSON,Libertarian,SID DAOUD,1
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 21 - WISDOM,BEAVERHEAD,PRECINCT 21 - WISDOM,Libertarian,SID DAOUD,2
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 23 - WISE RIVER,BEAVERHEAD,PRECINCT 23 - WISE RIVER,Libertarian,SID DAOUD,0
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 01 - D-CITY,BEAVERHEAD,PRECINCT 01 - D-CITY,Green,ROBERT BARB,3
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 02 - D-RURAL,BEAVERHEAD,PRECINCT 02 - D-RURAL,Green,ROBERT BARB,2
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 03 - D.RURAL,BEAVERHEAD,PRECINCT 03 - D.RURAL,Green,ROBERT BARB,3
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 04 - LIMA,BEAVERHEAD,PRECINCT 04 - LIMA,Green,ROBERT BARB,2
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 05 - DELL,BEAVERHEAD,PRECINCT 05 - DELL,Green,ROBERT BARB,0
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 06 - D-CITY,BEAVERHEAD,PRECINCT 06 - D-CITY,Green,ROBERT BARB,2
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 07 - D-RURAL,BEAVERHEAD,PRECINCT 07 - D-RURAL,Green,ROBERT BARB,1
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 08 - GRANT,BEAVERHEAD,PRECINCT 08 - GRANT,Green,ROBERT BARB,0
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 09 - D.RURAL,BEAVERHEAD,PRECINCT 09 - D.RURAL,Green,ROBERT BARB,3
